gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
aaeA.t01	426.239	515.211	441.803	647.585	682.895	504.886	894.742	841.205	663.519	933
aaeB.t01	959.725	780.393	1032.82	914.856	972.651	908.677	1155.42	1478.97	1051.52	1968
aaeR.t01	459.646	470.289	423.005	524.766	428.753	548.826	499.945	833.127	696.835	930
aaeX.t01	140.517	127.666	147.278	157.343	109.649	129.573	137.35	153.546	105.627	204
aas.t01	1657.76	1632.66	1787.78	1387.97	1385.16	1559.67	1725.57	2619.82	1963.56	2160
aat.t01	880.355	959.773	1124.74	718.317	708.913	520.465	362.037	364.656	361.968	705
abgA.t01	563.687	520.526	501.391	382.497	607.458	482.015	554.536	588.075	552.545	1311
abgB.t01	775.717	683.594	715.728	623.355	716.784	547.211	665.559	790.768	608.801	1446
abgR.t01	602.836	485.485	666.064	529.708	616.067	627.806	382.755	552.954	481.515	909
abgT.t01	764.993	694.893	709.528	566.245	655.376	680.285	652.58	775.634	559.739	1527
abrB.t01	540.468	467.462	432.215	361.005	388.619	327.12	439.517	417.911	390.933	1047
accA.t01	1209.48	1360.69	1658.3	1082.88	1176.29	821.38	946.14	672.366	773.425	960
accB.t01	2870.12	2658.58	2930.43	1047.3	1069.81	685.451	1089.99	803.295	1042.93	471
accC.t01	11282.6	11624.6	11243.2	4225.58	4463.8	3160.51	4074.56	2424.15	3672.47	1350
accD.t01	1145.65	1203.65	1382.51	1094.49	781.426	881.454	735.654	713.395	645.061	915
aceA.t01	1037.13	839.786	1063.03	13382.1	12795.6	9696.35	7873.44	3468.9	9582.47	1305
aceB.t01	6356.99	4475.84	4384.91	78833.3	89959.7	72507.6	66113.3	44425.7	81537.3	1602
aceE.t01	18224.4	16226.8	17263.9	7727.62	8205.44	5426.17	8871.89	5458.16	11003	2664
aceF.t01	4487.24	3939.52	4899.6	2782.18	2555.66	1627.01	3313.28	1882.2	3825.22	1893
aceK.t01	1031.37	725.639	1015.45	3677.7	3793.59	3015.76	3289.17	2317.33	3098.93	1737
ackA.t01	1965.56	1850.48	2534.16	1291.32	1310.27	1058.65	1002.83	700.215	927.791	1203
acnA.t01	1722.76	1641.93	2035.65	12014.4	13278.2	9603.6	4712.65	1832.35	4448.1	2676
acnB.t01	9127.5	8587.84	10057.5	21015	20743.7	16268.4	13499.9	7123.3	16073.9	2598
acpH.t01	477.423	477.043	510.951	600.863	626.104	658.516	729.973	623.532	537.226	582
acpP.t01	58387.6	52667.3	55972.8	25902	29480	34493.9	37956	44201.2	39305.7	237
acpS.t01	131.668	133.266	108.232	104.814	95.4752	81.1587	195.101	150.609	116.345	381
acpT.t01	731.819	777.501	878.513	688.125	613.213	644.889	844.239	1006.52	780.987	588
acrA.t01	2681.21	2729.95	3144.17	2459	2566.1	2086.23	1604.89	1451.53	1405.93	1194
acrB.t01	3004.74	2905.74	3257.19	2746.4	2808.48	2708.89	2530.82	2680.53	2240.17	3150
acrD.t01	1901.27	1875.69	1883.73	1506.69	1577.02	1780.95	1636.41	2139.2	1536.37	3114
acrE.t01	463.326	291.536	441.192	336.063	366.806	386.337	458.384	737.866	384.092	1158
acrF.t01	1288.35	941.52	1314.32	1149.55	1229.71	1063.72	1581.37	2190.53	1297.98	3105
acrR.t01	2629.1	2693.97	3101.39	3123.24	3307.66	4135.9	2207.35	1687.41	2108.19	648
acrS.t01	482.974	468.301	745.451	383.908	426.62	350.15	885.297	636.633	448.298	663
acrZ.t01	2104.95	2817.78	3014.09	2417.28	2542.68	3615.99	3801.53	6656.81	4176.02	150
acs.t01	1528.8	1345.11	1535.78	11557.8	11797.7	11179.8	17031.2	9119.65	18211.5	1959
actP.t01	1132.73	898.121	1035.56	1916.01	2026.46	1530.25	2090.62	1878.29	1982.62	1650
acuI.t01	473.214	404.773	585.626	619.561	615.065	538.309	646.286	546.294	581.831	975
ada.t01	625.729	472.706	803.621	716.902	792.969	836.441	708.802	639.6	772.153	1065
add.t01	671.516	614.135	1007.82	1142.6	984.013	945.893	530.109	592.086	717.563	1002
ade.t01	1813.15	1692.35	1650.9	1197.1	1272.29	1565.33	2309.88	3800.25	2294.18	1767
adhE.t01	34095.7	31491.7	28596.8	19016.4	20284.3	16778.9	6836.7	2895.32	7422.98	2676
adhP.t01	539.297	421.017	582.498	983.043	1018.63	853.105	642.137	740.44	732.536	1011
adiA.t01	2105.89	2088.53	1796.85	1794.78	1709.68	2027.02	2323.54	3712.67	2534.78	2268
adiC.t01	933.181	900.833	969.196	731.058	808.167	938.05	790.761	1698.9	1166.91	1338
adiY.t01	784.395	820.765	783.366	2024.38	2232.84	2430.43	801.99	1106.12	607.45	762
adk.t01	2075.35	2067.59	1888.44	1803.34	1577.21	1606.05	1009.71	895.054	1073.95	645
aegA.t01	1008	951.301	840.538	950.653	916.055	1055.51	1101.85	1186.6	983.971	1980
aer.t01	1243.57	1243.2	983.369	1017.1	1062.61	1217.59	1396.23	2151.73	1549.11	1521
aes.t01	737.39	645.062	765.899	551.502	676.988	780.18	678.522	796.826	646.866	960
afuC.t01	576.02	525.973	474.936	454.336	425.577	512.862	559.714	812.91	549.935	1047
agaB.t01	344.889	433.176	370.882	223.494	240.089	279.52	414.961	679.434	267.804	477
agaC.t01	554.525	465.809	582.341	357.639	383.804	388.871	618.393	961.102	620.743	804
agaD.t01	559.263	432.727	510.283	427.168	384.468	504.617	705.341	943.446	591.594	792
agaI.t01	581.828	522.56	468.876	406.851	361.633	473.089	655.246	1018.57	676.484	756
agaR.t01	733.67	666.308	725.604	782.025	763.772	816.083	1036.05	1325.95	999.386	810
agaS.t01	802.455	692.526	723.069	603.677	641.54	516.86	844.871	1295.96	884.722	1155
agaV.t01	318.441	345.948	216.983	229.039	282.396	337.761	418.188	548.949	299.049	474
agp.t01	1979.88	1958.31	2215.27	4193.18	3967.52	3547.97	2397.32	1121.58	1609.72	1242
agrA.r01	79.6165	53.9035	80.2715	26.7834	30.8442	68.2657	52.3173	159.225	57.011	84
agrB.r01	69.2332	52.4391	77.5354	32.9123	61.3329	21.4181	52.3173	146.083	90.5722	84
ahpC.t01	28580.8	25156.8	20357.3	20627.9	21165.2	17463.1	20130.9	9715.35	16286.8	564
ahpF.t01	4058.4	3734.63	3696.98	4544.34	4053.23	3689.61	3716.35	2175.96	2934.65	1566
ahr.t01	654.288	542.808	660.702	658.706	729.981	662.954	851.87	1188.07	860.347	1020
aidB.t01	1095.16	951.4	971.594	1246.03	1108.49	1467	1297.27	2270.53	1495.83	1626
